TIME_LOG_SEQ,USER_NAME,LOG_DATE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3
5112699,EWHITE,7/25/2018,18CAP,00000,005S8
5112849,LRUSSELL,7/25/2018,18CAP,00000,005S8
5125145,LRUSSELL,8/9/2018,18CAP,00000,005S8
5120926,LRUSSELL,8/1/2018,18CAP,00000,005S8
5120930,LRUSSELL,7/31/2018,18CAP,00000,005S8
5120462,EWHITE,8/1/2018,18CAP,00000,005S8
5124107,JRANGE,8/7/2018,18CAP,00000,005S8
5123876,EWHITE,8/7/2018,18CAP,00000,005S8
5124761,EWHITE,8/8/2018,18CAP,00000,005S8
5124096,EWHITE,8/7/2018,18CAP,00000,005S8
5125659,LRUSSELL,8/7/2018,18CAP,00000,005S8
5125138,LRUSSELL,8/9/2018,18CAP,00000,005S8
5122876,WWIETGRE,7/31/2018,18CAP,00000,005S8
5117517,LRUSSELL,7/26/2018,18CAP,00000,005S8
5156568,JRANGE,10/29/2018,18CAP,00000,005S8
5146545,LRUSSELL,10/3/2018,18CAP,00000,005S8
5145668,LRUSSELL,10/1/2018,18CAP,00000,005S8
5132897,LRUSSELL,8/29/2018,18CAP,00000,005S8
5134430,LRUSSELL,8/30/2018,18CAP,00000,005S8
5133419,EWHITE,8/30/2018,18CAP,00000,005S8
5155250,JRANGE,10/25/2018,18CAP,00000,005S8
5140986,LRUSSELL,9/18/2018,18CAP,00000,005S8
5140996,LRUSSELL,9/19/2018,18CAP,00000,005S8
5136233,LRUSSELL,9/7/2018,18CAP,00000,005S8
5154545,LRUSSELL,10/24/2018,18CAP,00000,005S8
5157738,JRANGE,11/1/2018,18CAP,00000,005S8
5145532,JRANGE,10/1/2018,18CAP,00000,005S8
5127331,LRUSSELL,8/14/2018,18CAP,00000,005S8
5141917,LRUSSELL,9/21/2018,18CAP,00000,005S8
5127347,LRUSSELL,8/13/2018,18CAP,00000,005S8
5155374,WWIETGRE,10/25/2018,18CAP,00000,005S8
5160141,JRANGE,11/7/2018,18CAP,00000,005S8
5127715,LRUSSELL,8/15/2018,18CAP,00000,005S8
5157882,LRUSSELL,11/1/2018,18CAP,00000,005S8
5132788,JRANGE,8/29/2018,18CAP,00000,005S8
5138307,LRUSSELL,9/13/2018,18CAP,00000,005S8
5148648,EWHITE,10/9/2018,18CAP,00000,005S8
5156635,EWATTY,10/29/2018,18CAP,00000,005S8
5154527,LRUSSELL,10/23/2018,18CAP,00000,005S8
5154284,JRANGE,10/24/2018,18CAP,00000,005S8
5138405,LRUSSELL,9/12/2018,18CAP,00000,005S8
5140877,EWHITE,9/19/2018,18CAP,00000,005S8
5140902,JRANGE,9/19/2018,18CAP,00000,005S8
5143709,JRANGE,9/26/2018,18CAP,00000,005S8
5160571,LRUSSELL,11/8/2018,18CAP,00000,005S8
5156196,LRUSSELL,10/25/2018,18CAP,00000,005S8
5157249,LRUSSELL,10/29/2018,18CAP,00000,005S8
5157274,LRUSSELL,10/30/2018,18CAP,00000,005S8
5150637,LRUSSELL,10/15/2018,18CAP,00000,005S8
5160650,LRUSSELL,11/5/2018,18CAP,00000,005S8
5160595,LRUSSELL,11/8/2018,18CAP,00000,005S8
5160627,LRUSSELL,11/6/2018,18CAP,00000,005S8
5132373,LRUSSELL,8/28/2018,18CAP,00000,005S8
5140734,EWHITE,9/19/2018,18CAP,00000,005S8
5131603,LRUSSELL,8/21/2018,18CAP,00000,005S8
5132934,EWHITE,8/29/2018,18CAP,00000,005S8
5140989,LRUSSELL,9/19/2018,18CAP,00000,005S8
5146846,EWHITE,10/4/2018,18CAP,00000,005S8
5184076,JRANGE,1/16/2019,18CAP,00000,005S8
5176768,MLI,12/21/2018,18CAP,00000,005S8
5171478,LRUSSELL,12/3/2018,18CAP,00000,005S8
5185876,AVANDERS,1/17/2019,18CAP,00000,005S8
5189156,EWHITE,1/30/2019,18CAP,00000,005S8
5180556,JDELUMO,1/7/2019,18CAP,00000,005S8
5168462,MLI,11/30/2018,18CAP,00000,005S8
5189828,JDELUMO,1/30/2019,18CAP,00000,005S8
5192217,JDELUMO,2/6/2019,18CAP,00000,005S8
5170112,LRUSSELL,12/6/2018,18CAP,00000,005S8
5193715,JDELUMO,2/11/2019,18CAP,00000,005S8
5172877,LRUSSELL,12/13/2018,18CAP,00000,005S8
5163411,LRUSSELL,11/13/2018,18CAP,00000,005S8
5174013,LRUSSELL,12/13/2018,18CAP,00000,005S8
5174822,LRUSSELL,12/17/2018,18CAP,00000,005S8
5176892,DTWU,12/17/2018,18CAP,00000,005S8
5194540,JDELUMO,2/12/2019,18CAP,00000,005S8
5183374,JDELUMO,1/14/2019,18CAP,00000,005S8
5174945,JRANGE,12/18/2018,18CAP,00000,005S8
5178920,JDELUMO,1/2/2019,18CAP,00000,005S8
5179817,JDELUMO,1/4/2019,18CAP,00000,005S8
5195531,JDELUMO,2/14/2019,18CAP,00000,005S8
5175535,JDELUMO,12/19/2018,18CAP,00000,005S8
5169888,JRANGE,12/5/2018,18CAP,00000,005S8
5190119,JRANGE,2/1/2019,18CAP,00000,005S8
5174804,JDELUMO,12/17/2018,18CAP,00000,005S8
5190277,JDELUMO,2/1/2019,18CAP,00000,005S8
5190655,MLI,2/1/2019,18CAP,00000,005S8
5170155,JRANGE,12/6/2018,18CAP,00000,005S8
5170180,LRUSSELL,12/5/2018,18CAP,00000,005S8
5176766,MLI,12/19/2018,18CAP,00000,005S8
5186100,JDELUMO,1/22/2019,18CAP,00000,005S8
5162900,JRANGE,11/14/2018,18CAP,00000,005S8
5176165,JDELUMO,12/20/2018,18CAP,00000,005S8
5163406,LRUSSELL,11/14/2018,18CAP,00000,005S8
5194461,JRANGE,2/13/2019,18CAP,00000,005S8
5184176,JDELUMO,1/16/2019,18CAP,00000,005S8
5184307,JDELUMO,1/15/2019,18CAP,00000,005S8
5164492,LRUSSELL,11/19/2018,18CAP,00000,005S8
5164771,LRUSSELL,11/20/2018,18CAP,00000,005S8
5177362,JDELUMO,12/21/2018,18CAP,00000,005S8
5185244,JDELUMO,1/18/2019,18CAP,00000,005S8
5180931,JDELUMO,1/8/2019,18CAP,00000,005S8
5181030,JDELUMO,1/9/2019,18CAP,00000,005S8
5197556,JDELUMO,2/21/2019,18CAP,00000,005S8
5194949,DJAIN,2/14/2019,18CAP,00000,005S8
5196709,JDELUMO,2/19/2019,18CAP,00000,005S8
5173443,WWIETGRE,12/12/2018,18CAP,00000,005S8
5195529,JDELUMO,2/13/2019,18CAP,00000,005S8
5172378,JDELUMO,12/11/2018,18CAP,00000,005S8
5174328,JDELUMO,12/12/2018,18CAP,00000,005S8
5162513,EWHITE,11/13/2018,18CAP,00000,005S8
5184995,JRANGE,1/18/2019,18CAP,00000,005S8
5191715,JRANGE,2/6/2019,18CAP,00000,005S8
5172906,LRUSSELL,12/11/2018,18CAP,00000,005S8
5181777,JDELUMO,1/10/2019,18CAP,00000,005S8
5175077,JDELUMO,12/18/2018,18CAP,00000,005S8
5175523,JRANGE,12/19/2018,18CAP,00000,005S8
5188089,JDELUMO,1/23/2019,18CAP,00000,005S8
5170203,LRUSSELL,12/4/2018,18CAP,00000,005S8
5172139,JRANGE,12/11/2018,18CAP,00000,005S8
5168100,JRANGE,11/30/2018,18CAP,00000,005S8
5168240,LRUSSELL,11/30/2018,18CAP,00000,005S8
5170136,LRUSSELL,12/5/2018,18CAP,00000,005S8
5199463,JRANGE,2/27/2019,18CAP,00000,005S8
5208203,SMORGAN,3/11/2019,18CAP,00000,005S8
5208269,JRANGE,3/14/2019,18CAP,00000,005S8
5207438,JRANGE,3/12/2019,18CAP,00000,005S8
5201292,JDELUMO,2/27/2019,18CAP,00000,005S8
5202920,JRANGE,3/7/2019,18CAP,00000,005S8
5202985,JDELUMO,3/6/2019,18CAP,00000,005S8
5213004,CTHOMAS,3/26/2019,18CAP,00000,005S8
5220183,JDELUMO,4/11/2019,18CAP,00000,005S8
5225528,JDELUMO,4/25/2019,18CAP,00000,005S8
5219380,JDELUMO,4/9/2019,18CAP,00000,005S8
5205878,JDELUMO,3/7/2019,18CAP,00000,005S8
5203410,JRANGE,3/8/2019,18CAP,00000,005S8
5221765,JDELUMO,4/16/2019,18CAP,00000,005S8
5225619,WWIETGRE,4/23/2019,18CAP,00000,005S8
5226943,JDELUMO,4/29/2019,18CAP,00000,005S8
5212294,JRANGE,3/22/2019,18CAP,00000,005S8
5212329,JDELUMO,3/21/2019,18CAP,00000,005S8
5204158,JRANGE,3/8/2019,18CAP,00000,005S8
5225852,JDELUMO,4/26/2019,18CAP,00000,005S8
5213585,JDELUMO,3/26/2019,18CAP,00000,005S8
5212295,JRANGE,3/23/2019,18CAP,00000,005S8
5217596,WWIETGRE,4/5/2019,18CAP,00000,005S8
5212331,JDELUMO,3/18/2019,18CAP,00000,005S8
5201862,JDELUMO,3/4/2019,18CAP,00000,005S8
5233796,JDELUMO,5/15/2019,18CAP,00000,005S8
5201326,JDELUMO,2/28/2019,18CAP,00000,005S8
5222492,JDELUMO,4/17/2019,18CAP,00000,005S8
5205280,JRANGE,3/8/2019,18CAP,00000,005S8
5207762,JDELUMO,3/12/2019,18CAP,00000,005S8
5213232,JDELUMO,3/25/2019,18CAP,00000,005S8
5206968,JRANGE,3/11/2019,18CAP,00000,005S8
5214584,NFOSTER,3/27/2019,18CAP,00000,005S8
5215238,JDELUMO,3/29/2019,18CAP,00000,005S8
5203784,JRANGE,3/8/2019,18CAP,00000,005S8
5207300,JDELUMO,3/11/2019,18CAP,00000,005S8
5226762,JRANGE,4/29/2019,18CAP,00000,005S8
5232027,JDELUMO,5/6/2019,18CAP,00000,005S8
5232571,JDELUMO,5/13/2019,18CAP,00000,005S8
5208948,JDELUMO,3/14/2019,18CAP,00000,005S8
5219284,JRANGE,4/10/2019,18CAP,00000,005S8
5227397,JRANGE,5/1/2019,18CAP,00000,005S8
5204532,JRANGE,3/8/2019,18CAP,00000,005S8
5228468,NFOSTER,5/3/2019,18CAP,00000,005S8
5230573,JDELUMO,5/7/2019,18CAP,00000,005S8
5224700,JRANGE,4/24/2019,18CAP,00000,005S8
5225162,JRANGE,4/23/2019,18CAP,00000,005S8
5225168,JRANGE,4/25/2019,18CAP,00000,005S8
5206170,JDELUMO,3/8/2019,18CAP,00000,005S8
5222490,JDELUMO,4/18/2019,18CAP,00000,005S8
5223154,WWIETGRE,4/18/2019,18CAP,00000,005S8
5204906,JRANGE,3/8/2019,18CAP,00000,005S8
5216533,JDELUMO,4/3/2019,18CAP,00000,005S8
5232569,JDELUMO,5/13/2019,18CAP,00000,005S8
5227089,JRANGE,4/30/2019,18CAP,00000,005S8
5227685,JDELUMO,4/30/2019,18CAP,00000,005S8
5221372,JDELUMO,4/15/2019,18CAP,00000,005S8
5228469,NFOSTER,4/30/2019,18CAP,00000,005S8
5230716,JDELUMO,5/8/2019,18CAP,00000,005S8
5220517,JDELUMO,4/12/2019,18CAP,00000,005S8
5219806,JDELUMO,4/10/2019,18CAP,00000,005S8
5208498,JDELUMO,3/13/2019,18CAP,00000,005S8
5225525,JDELUMO,4/24/2019,18CAP,00000,005S8
5205654,JRANGE,3/8/2019,18CAP,00000,005S8
5217354,CTHOMAS,4/5/2019,18CAP,00000,005S8
5221071,CTHOMAS,4/15/2019,18CAP,00000,005S8
5229448,DDWYER,5/6/2019,18CAP,00000,005S8
5231079,JRANGE,5/8/2019,18CAP,00000,005S8
5207802,JRANGE,3/13/2019,18CAP,00000,005S8
5228749,DDWYER,5/3/2019,18CAP,00000,005S8
5231679,JDELUMO,5/10/2019,18CAP,00000,005S8
5229298,JDELUMO,5/1/2019,18CAP,00000,005S8
5233371,JDELUMO,5/14/2019,18CAP,00000,005S8
5230909,SMORGAN,5/8/2019,18CAP,00000,005S8
5202433,JDELUMO,3/5/2019,18CAP,00000,005S8
5235863,JRANGE,5/21/2019,18CAP,00000,005S8
5236300,JRANGE,5/22/2019,18CAP,00000,005S8
5237641,JRANGE,5/24/2019,18CAP,00000,005S8
5256956,MLI,7/16/2019,18CAP,00000,005S8
5257190,JDELUMO,7/16/2019,18CAP,00000,005S8
5247959,JDELUMO,6/20/2019,18CAP,00000,005S8
5257855,JDELUMO,7/18/2019,18CAP,00000,005S8
5238079,JRANGE,5/25/2019,18CAP,00000,005S8
5238082,JRANGE,5/27/2019,18CAP,00000,005S8
5258374,JGREVING,7/18/2019,18CAP,00000,005S8
5249048,JDELUMO,6/21/2019,18CAP,00000,005S8
5240415,JDELUMO,5/28/2019,18CAP,00000,005S8
5240445,JDELUMO,5/1/2019,18CAP,00000,005S8
5237228,JDELUMO,5/22/2019,18CAP,00000,005S8
5238081,JRANGE,5/29/2019,18CAP,00000,005S8
5245196,WWIETGRE,6/11/2019,18CAP,00000,005S8
5253597,JDELUMO,7/3/2019,18CAP,00000,005S8
5256648,JRANGE,7/15/2019,18CAP,00000,005S8
5256651,JRANGE,7/16/2019,18CAP,00000,005S8
5256645,JDELUMO,7/15/2019,18CAP,00000,005S8
5256652,JRANGE,7/15/2019,18CAP,00000,005S8
5257600,JRANGE,7/17/2019,18CAP,00000,005S8
5247686,JDELUMO,6/19/2019,18CAP,00000,005S8
5269043,MLI,8/14/2019,18CAP,00000,005S8
5255035,JDELUMO,7/11/2019,18CAP,00000,005S8
5265642,JDELUMO,8/5/2019,18CAP,00000,005S8
5255432,JDELUMO,7/12/2019,18CAP,00000,005S8
5250580,JDELUMO,6/26/2019,18CAP,00000,005S8
5269272,JDELUMO,8/16/2019,18CAP,00000,005S8
5243602,JDELUMO,6/10/2019,18CAP,00000,005S8
5267614,JRANGE,8/14/2019,18CAP,00000,005S8
5261218,MLI,7/23/2019,18CAP,00000,005S8
5267838,JDELUMO,8/14/2019,18CAP,00000,005S8
5257892,JRANGE,7/19/2019,18CAP,00000,005S8
5268200,JRANGE,8/15/2019,18CAP,00000,005S8
5263899,JDELUMO,8/2/2019,18CAP,00000,005S8
5264229,JRANGE,8/5/2019,18CAP,00000,005S8
5235375,JRANGE,5/20/2019,18CAP,00000,005S8
5247189,JDELUMO,6/18/2019,18CAP,00000,005S8
5253841,JDELUMO,7/8/2019,18CAP,00000,005S8
5261443,NFOSTER,7/26/2019,18CAP,00000,005S8
5250787,JDELUMO,6/27/2019,18CAP,00000,005S8
5255145,JGREVING,7/10/2019,18CAP,00000,005S8
5255146,JGREVING,7/11/2019,18CAP,00000,005S8
5257599,JRANGE,7/16/2019,18CAP,00000,005S8
5257601,JRANGE,7/18/2019,18CAP,00000,005S8
5258679,AVANDERS,7/18/2019,18CAP,00000,005S8
5264969,JRANGE,8/7/2019,18CAP,00000,005S8
5264188,JDELUMO,8/5/2019,18CAP,00000,005S8
5266305,DTWU,8/9/2019,18CAP,00000,005S8
5264591,JRANGE,8/6/2019,18CAP,00000,005S8
5259280,JDELUMO,7/23/2019,18CAP,00000,005S8
5244009,JDELUMO,6/11/2019,18CAP,00000,005S8
5254491,JRANGE,7/10/2019,18CAP,00000,005S8
5254560,JDELUMO,7/9/2019,18CAP,00000,005S8
5254561,JDELUMO,7/10/2019,18CAP,00000,005S8
5254562,JDELUMO,7/9/2019,18CAP,00000,005S8
5267570,JDELUMO,8/13/2019,18CAP,00000,005S8
5266405,MLI,8/5/2019,18CAP,00000,005S8
5266408,MLI,8/6/2019,18CAP,00000,005S8
5267236,JDELUMO,8/12/2019,18CAP,00000,005S8
5258372,JGREVING,7/15/2019,18CAP,00000,005S8
5243852,JRANGE,6/11/2019,18CAP,00000,005S8
5255037,JDELUMO,7/10/2019,18CAP,00000,005S8
5255039,JRANGE,7/11/2019,18CAP,00000,005S8
5256129,JRANGE,7/12/2019,18CAP,00000,005S8
5251525,JDELUMO,6/28/2019,18CAP,00000,005S8
5253436,JGREVING,7/1/2019,18CAP,00000,005S8
5253437,JGREVING,7/2/2019,18CAP,00000,005S8
5257905,JDELUMO,7/19/2019,18CAP,00000,005S8
5249303,JDELUMO,6/24/2019,18CAP,00000,005S8
5265786,JDELUMO,8/9/2019,18CAP,00000,005S8
5258900,JDELUMO,7/22/2019,18CAP,00000,005S8
5265637,JDELUMO,8/8/2019,18CAP,00000,005S8
5265647,JDELUMO,8/6/2019,18CAP,00000,005S8
5249287,JRANGE,6/24/2019,18CAP,00000,005S8
5266688,NFOSTER,8/8/2019,18CAP,00000,005S8
5256873,MLI,7/15/2019,18CAP,00000,005S8
5265622,WWIETGRE,8/7/2019,18CAP,00000,005S8
5266049,JRANGE,8/9/2019,18CAP,00000,005S8
5263088,JDELUMO,8/1/2019,18CAP,00000,005S8
5265201,JDELUMO,8/7/2019,18CAP,00000,005S8
5268429,JDELUMO,8/15/2019,18CAP,00000,005S8
5266414,MLI,8/8/2019,18CAP,00000,005S8
5266416,MLI,8/9/2019,18CAP,00000,005S8
5269841,JRANGE,8/20/2019,18CAP,00000,005S8
5257522,JDELUMO,7/17/2019,18CAP,00000,005S8
5267986,DTWU,8/13/2019,18CAP,00000,005S8
5245984,JDELUMO,6/14/2019,18CAP,00000,005S8
5238365,JRANGE,5/28/2019,18CAP,00000,005S8
5241607,JDELUMO,6/5/2019,18CAP,00000,005S8
5292912,JRANGE,10/18/2019,18CAP,00000,005S8
5293960,RCOOPER,10/22/2019,18CAP,00000,005S8
5273785,JDELUMO,8/27/2019,18CAP,00000,005S8
5276414,WWIETGRE,9/6/2019,18CAP,00000,005S8
5274266,JDELUMO,8/28/2019,18CAP,00000,005S8
5277422,JRANGE,9/9/2019,18CAP,00000,005S8
5287198,MHUGGINS,10/3/2019,18CAP,00000,005S8
5280185,JDELUMO,9/12/2019,18CAP,00000,005S8
5270664,JRANGE,8/22/2019,18CAP,00000,005S8
5271093,JDELUMO,8/21/2019,18CAP,00000,005S8
5291171,JDELUMO,10/11/2019,18CAP,00000,005S8
5285687,MLI,9/24/2019,18CAP,00000,005S8
5280234,JDELUMO,9/11/2019,18CAP,00000,005S8
5304997,JRANGE,11/20/2019,18CAP,00000,005S8
5305333,WWIETGRE,11/20/2019,18CAP,00000,005S8
5301503,JDELUMO,11/6/2019,18CAP,00000,005S8
5301505,JDELUMO,11/8/2019,18CAP,00000,005S8
5305623,JDELUMO,11/22/2019,18CAP,00000,005S8
5298643,JDELUMO,10/29/2019,18CAP,00000,005S8
5298654,JDELUMO,10/29/2019,18CAP,00000,005S8
5276286,JDELUMO,9/5/2019,18CAP,00000,005S8
5298191,JDELUMO,10/31/2019,18CAP,00000,005S8
5271429,JDELUMO,8/23/2019,18CAP,00000,005S8
5273376,JRANGE,8/28/2019,18CAP,00000,005S8
5292280,JDELUMO,10/17/2019,18CAP,00000,005S8
5284923,JDELUMO,9/27/2019,18CAP,00000,005S8
5292307,JRANGE,10/17/2019,18CAP,00000,005S8
5274553,JDELUMO,8/29/2019,18CAP,00000,005S8
5284878,JRANGE,9/27/2019,18CAP,00000,005S8
5287071,JDELUMO,10/1/2019,18CAP,00000,005S8
5278168,JRANGE,9/11/2019,18CAP,00000,005S8
5300668,JDELUMO,11/5/2019,18CAP,00000,005S8
5303191,JRANGE,11/15/2019,18CAP,00000,005S8
5279333,JRANGE,9/10/2019,18CAP,00000,005S8
5289977,JDELUMO,10/8/2019,18CAP,00000,005S8
5288647,JDELUMO,10/2/2019,18CAP,00000,005S8
5290037,JDELUMO,10/9/2019,18CAP,00000,005S8
5300022,JRANGE,11/6/2019,18CAP,00000,005S8
5276598,JDELUMO,9/6/2019,18CAP,00000,005S8
5270505,JRANGE,8/21/2019,18CAP,00000,005S8
5276541,JDELUMO,9/6/2019,18CAP,00000,005S8
5278159,JDELUMO,9/10/2019,18CAP,00000,005S8
5271443,JRANGE,8/23/2019,18CAP,00000,005S8
5279053,JGREVING,9/13/2019,18CAP,00000,005S8
5280805,JRANGE,9/18/2019,18CAP,00000,005S8
5308440,JRANGE,12/2/2019,18CAP,00000,005S8
5307456,JDELUMO,11/25/2019,18CAP,00000,005S8
5306339,MLI,11/20/2019,18CAP,00000,005S8
5310714,MLI,12/2/2019,18CAP,00000,005S8
5306312,MLI,11/19/2019,18CAP,00000,005S8
5306340,MLI,11/21/2019,18CAP,00000,005S8
5308668,JDELUMO,12/2/2019,18CAP,00000,005S8
5308111,JDELUMO,11/26/2019,18CAP,00000,005S8
5307255,JRANGE,11/26/2019,18CAP,00000,005S8
